sample_id,emotion,energy,zcr,spectral_centroid
97,sad,0.259154,0.33829,0.146
98,sad,0.235789,0.260591,0.31776
99,sad,0.227685,0.144597,0.31968
100,sad,0.353641,0.157968,0.35183
101,sad,0.230288,0.246321,0.236826
102,sad,0.229933,0.328003,0.334959
103,sad,0.353939,0.320645,0.326345
104,sad,0.354636,0.27634,0.349679
105,sad,0.232206,0.253993,0.258155
106,sad,0.309375,0.179302,0.346941
107,sad,0.238561,0.320275,0.345052
108,sad,0.359239,0.293846,0.205678
109,sad,0.245983,0.17968,0.268903
110,sad,0.340674,0.288252,0.258064
111,sad,0.189177,0.251967,0.227006
112,sad,0.209732,0.268721,0.369319
113,sad,0.286526,0.112523,0.318262
114,sad,0.254322,0.274833,0.396973
115,sad,0.126206,0.214534,0.335454
116,sad,0.155104,0.338557,0.322101
117,sad,0.300795,0.215743,0.348826
118,sad,0.314108,0.263973,0.314064
119,sad,0.266221,0.198199,0.291148
120,neutral,0.490849,0.473004,0.559989
121,neutral,0.436488,0.442499,0.588887
122,neutral,0.455385,0.400665,0.512138
123,neutral,0.550663,0.450686,0.579738
124,neutral,0.551408,0.500509,0.533247
125,neutral,0.639659,0.43769,0.379789
126,neutral,0.596255,0.422538,0.506473
127,neutral,0.578573,0.353864,0.424901
128,neutral,0.403923,0.402352,0.526378
129,neutral,0.531451,0.466576,0.415234
130,neutral,0.361394,0.453261,0.471693
131,neutral,0.527563,0.492117,0.508294
132,neutral,0.545608,0.463753,0.531804
133,neutral,0.45772,0.439223,0.511807
134,neutral,0.549232,0.426376,0.53127
135,neutral,0.48405,0.442947,0.549771
136,neutral,0.380416,0.372212,0.411069
137,neutral,0.359983,0.409304,0.544966
138,neutral,0.482907,0.461867,0.565353
139,neutral,0.579661,0.445852,0.581215
140,neutral,0.505528,0.399756,0.464336
141,neutral,0.411168,0.396712,0.478519
142,neutral,0.548215,0.553246,0.417069
143,neutral,0.52357,0.387567,0.528482
144,neutral,0.492135,0.340146,0.555698
145,neutral,0.4637,0.417966,0.435815
146,neutral,0.460743,0.475673,0.488645
147,neutral,0.51972,0.471715,0.57924
148,neutral,0.479433,0.361389,0.564033
149,neutral,0.480111,0.516876,0.523003
150,neutral,0.492132,0.470927,0.617061
151,neutral,0.624619,0.454163,0.509611
152,neutral,0.564574,0.39926,0.519984
153,neutral,0.498448,0.468834,0.449998
154,neutral,0.404626,0.325621,0.432957
155,neutral,0.472479,0.432409,0.616234
156,neutral,0.56636,0.392275,0.520863
157,neutral,0.475575,0.432938,0.51112
158,neutral,0.53715,0.429644,0.563831
159,neutral,0.431484,0.45038,0.65586
